iter	Passed	Remaining
0	502	96941
1	976	93755
2	1519	96751
3	2086	99105
4	2643	99918
5	3127	98007
6	3843	102668
7	4503	104695
8	5025	103296
9	5501	101228
10	5985	99581
11	6480	98287
12	7025	97818
13	7541	96966
14	8056	96144
15	8540	95014
16	9187	95653
17	9792	95750
18	10288	94760
19	10748	93512
20	11261	92773
21	11963	93531
22	12553	93332
23	13042	92385
24	13649	92273
25	14222	91901
26	14889	92097
27	15415	91393
28	15955	90783
29	16516	90292
30	17015	89466
31	17576	88983
32	18136	88481
33	18690	87956
34	19217	87304
35	19749	86676
36	20321	86227
37	20860	85638
38	21331	84780
39	21782	83863
40	22246	83018
41	22744	82314
42	23284	81768
43	23843	81285
44	24445	80940
45	25008	80463
46	25484	79707
47	25968	78986
48	26439	78239
49	26880	77415
50	27388	76794
51	27944	76308
52	28467	75734
53	28957	75075
54	29450	74430
55	29948	73802
56	30547	73420
57	31142	73022
58	31663	72451
59	32106	71704
60	32617	71117
61	33141	70559
62	33621	69910
63	34146	69360
64	34597	68662
65	35128	68128
66	35643	67563
67	36149	66982
68	36787	66643
69	37316	66104
70	37839	65553
71	38356	64992
72	38859	64410
73	39376	63853
74	39859	63244
75	40374	62686
76	40876	62111
77	41367	61520
78	41888	60977
79	42433	60467
80	42903	59852
81	43430	59320
82	43974	58809
83	44440	58196
84	44856	57521
85	45291	56877
86	45716	56226
87	46166	55609
88	46620	55001
89	47067	54389
90	47509	53774
91	47929	53138
92	48355	52515
93	48867	51986
94	49343	51421
95	49869	50908
96	50382	50382
97	50931	49892
98	51431	49353
99	51910	48795
100	52412	48260
101	52940	47749
102	53461	47232
103	53919	46660
104	54439	46143
105	54892	45570
106	55371	45021
107	55851	44474
108	56288	43894
109	56740	43328
110	57158	42740
111	57634	42196
112	58091	41641
113	58590	41115
114	59088	40591
115	59606	40080
116	60109	39559
117	60545	38995
118	61056	38481
119	61532	37944
120	61954	37377
121	62430	36844
122	62852	36280
123	63285	35725
124	63709	35167
125	64223	34660
126	64667	34116
127	65107	33571
128	65616	33062
129	66181	32581
130	66650	32053
131	67141	31536
132	67584	30997
133	68055	30472
134	68542	29955
135	69009	29430
136	69550	28937
137	70007	28408
138	70444	27873
139	71000	27385
140	71450	26857
141	71925	26338
142	72383	25815
143	72813	25282
144	73277	24762
145	73708	24232
146	74141	23705
147	74586	23182
148	75003	22652
149	75438	22128
150	75877	21607
151	76340	21093
152	76774	20573
153	77225	20058
154	77657	19539
155	78084	19020
