iter	Passed	Remaining
0	452	87415
1	906	87002
2	1378	87790
3	1850	87919
4	2317	87620
5	2778	87073
6	3239	86544
7	3688	85762
8	4149	85288
9	4604	84723
10	5053	84063
11	5508	83546
12	5964	83037
13	6439	82792
14	6887	82189
15	7321	81452
16	7798	81192
17	8252	80693
18	8704	80176
19	9141	79534
20	9611	79176
21	10056	78626
22	10493	78017
23	10948	77549
24	11388	76984
25	11865	76667
26	12335	76297
27	12788	75815
28	13244	75354
29	13688	74830
30	14127	74282
31	14558	73704
32	14995	73157
33	15450	72707
34	15907	72264
35	16345	71736
36	16785	71223
37	17239	70774
38	17696	70332
39	18148	69871
40	18606	69432
41	19057	68968
42	19518	68543
43	19992	68157
44	20449	67711
45	20904	67258
46	21351	66778
47	21825	66384
48	22305	66006
49	22772	65586
50	23221	65111
51	23662	64617
52	24115	64155
53	24580	63728
54	25027	63250
55	25527	62906
56	25995	62480
57	26435	61985
58	26868	61478
59	27330	61037
60	27786	60583
61	28234	60112
62	28693	59663
63	29127	59164
64	29565	58676
65	30001	58184
66	30438	57696
67	30872	57204
68	31327	56752
69	31765	56269
70	32214	55808
71	32674	55365
72	33099	54863
73	33555	54414
74	34040	54010
75	34467	53515
76	34905	53038
77	35343	52562
78	35788	52096
79	36235	51635
80	36676	51165
81	37125	50708
82	37574	50250
83	38014	49780
84	38452	49309
85	38897	48848
86	39325	48365
87	39760	47892
88	40213	47442
89	40656	46980
90	41088	46506
91	41519	46032
92	41972	45583
93	42431	45139
94	42869	44674
95	43318	44221
96	43818	43818
97	44279	43375
98	44725	42918
99	45168	42458
100	45615	42002
101	46050	41536
102	46493	41076
103	46987	40661
104	47424	40197
105	47867	39738
106	48307	39277
107	48744	38815
108	49180	38352
109	49614	37887
110	50047	37422
111	50495	36970
112	50943	36516
113	51410	36077
114	51861	35626
115	52315	35177
116	52802	34750
117	53272	34310
118	53721	33857
119	54152	33394
120	54587	32932
121	55025	32473
122	55466	32017
123	55893	31552
124	56320	31089
125	56792	30649
126	57267	30211
127	57697	29750
128	58129	29289
129	58602	28850
130	59048	28397
131	59485	27939
132	59951	27496
133	60378	27035
134	60835	26587
135	61284	26136
136	61740	25687
137	62188	25235
138	62644	24787
139	63096	24337
140	63538	23883
141	64001	23437
142	64431	22979
143	64880	22528
144	65340	22080
145	65791	21630
146	66262	21185
147	66718	20736
148	67162	20283
149	67607	19831
150	68032	19373
151	68480	18922
152	68945	18475
153	69402	18026
154	69842	17573
155	70277	17118
156	70725	16667
157	71166	16215
158	71600	15761
159	72038	15308
160	72485	14857
161	72966	14413
162	73410	13961
163	73868	13512
164	74301	13059
165	74764	12610
166	75210	12159
167	75662	11709
168	76108	11258
169	76544	10806
170	76993	10355
171	77432	9904
172	77864	9451
173	78297	8999
