iter	Passed	Remaining
0	476	91984
1	946	90907
2	1427	90908
3	1905	90519
4	2378	89917
5	2827	88585
6	3289	87885
7	3761	87448
8	4228	86923
9	4727	86978
10	5218	86813
11	5719	86746
12	6196	86275
13	6681	85909
14	7138	85188
15	7684	85484
16	8184	85210
17	8635	84434
18	9095	83775
19	9585	83390
20	10057	82851
21	10501	82102
22	11053	82177
23	11538	81731
24	12011	81200
25	12483	80663
26	12958	80152
27	13423	79583
28	13905	79116
29	14385	78639
30	14837	78015
31	15313	77524
32	15777	76976
33	16265	76544
34	16734	76022
35	17206	75517
36	17680	75024
37	18135	74450
38	18583	73858
39	19033	73277
40	19506	72791
41	19954	72215
42	20407	71664
43	20891	71219
44	21368	70752
45	21801	70144
46	22262	69630
47	22715	69093
48	23215	68697
49	23671	68174
50	24193	67835
51	24669	67367
52	25113	66811
53	25557	66259
54	25996	65699
55	26435	65144
56	26873	64590
57	27339	64106
58	27800	63610
59	28240	63069
60	28687	62548
61	29134	62028
62	29597	61543
63	30037	61013
64	30517	60565
65	30960	60045
66	31417	59553
67	31880	59072
68	32356	58616
69	32833	58161
70	33272	57640
71	33739	57168
72	34185	56663
73	34622	56144
74	35097	55687
75	35574	55233
76	36114	54874
77	36614	54452
78	37069	53962
79	37509	53451
80	37995	53006
81	38454	52523
82	38905	52030
83	39335	51510
84	39765	50993
85	40210	50497
86	40650	49995
87	41130	49543
88	41575	49049
89	42032	48571
90	42477	48079
91	42956	47625
92	43381	47113
93	43814	46610
94	44360	46228
95	44854	45788
96	45415	45415
97	45973	45034
98	46452	44575
99	46953	44135
100	47403	43648
101	47850	43159
102	48303	42676
103	48774	42208
104	49218	41718
105	49675	41240
106	50143	40770
107	50608	40299
108	51063	39820
109	51584	39391
110	52011	38891
111	52437	38391
112	52858	37889
113	53307	37408
