iter	Passed	Remaining
0	466	90045
1	904	86832
2	1351	86057
3	1810	85978
4	2306	87181
5	2812	88119
6	3331	88992
7	3779	87879
8	4216	86681
9	4655	85663
10	5104	84913
11	5556	84273
12	5987	83366
13	6440	82801
14	6913	82496
15	7382	82124
16	7863	81867
17	8333	81478
18	8780	80872
19	9211	80141
20	9642	79434
21	10066	78701
22	10494	78027
23	10923	77375
24	11358	76781
25	11800	76250
26	12240	75709
27	12682	75187
28	13144	74785
29	13606	74384
30	14043	73841
31	14480	73308
32	14921	72798
33	15381	72385
34	15875	72121
35	16346	71743
36	16777	71191
37	17208	70646
38	17665	70210
39	18118	69756
40	18584	69351
41	19040	68907
42	19485	68427
43	19959	68043
44	20399	67543
45	20840	67051
46	21295	66604
47	21772	66224
48	22213	65732
49	22683	65328
50	23151	64915
51	23603	64455
52	24042	63961
53	24465	63429
54	24913	62963
55	25338	62441
56	25783	61971
57	26261	61579
58	26722	61145
59	27155	60647
60	27647	60281
61	28118	59865
62	28568	59404
63	29080	59070
64	29554	58654
65	30035	58250
66	30492	57798
67	30953	57355
68	31431	56940
69	31888	56488
70	32324	55999
71	32786	55554
72	33249	55111
73	33703	54653
74	34143	54173
75	34595	53713
76	35040	53243
77	35488	52777
78	35949	52331
79	36389	51855
80	36872	51438
81	37372	51045
82	37921	50714
83	38488	50401
84	39005	50018
85	39532	49645
86	40027	49229
87	40497	48781
88	41054	48434
89	41582	48051
90	42054	47599
91	42536	47159
92	43080	46786
93	43579	46361
94	44089	45946
95	44575	45504
96	45013	45013
97	45479	44551
98	45936	44080
99	46404	43620
100	46855	43144
101	47286	42650
102	47734	42173
103	48256	41760
104	48849	41405
105	49348	40968
106	49822	40509
107	50255	40018
108	50689	39528
109	51194	39094
110	51780	38718
111	52274	38272
112	52784	37836
113	53225	37351
114	53689	36882
115	54186	36435
116	54678	35984
117	55311	35624
118	55888	35224
119	56315	34727
120	56806	34271
121	57232	33776
122	57732	33324
123	58200	32855
124	58624	32360
125	59051	31869
126	59477	31377
127	59957	30915
128	60394	30431
129	60851	29957
130	61297	29479
131	61752	29005
132	62214	28534
133	62696	28072
134	63137	27593
135	63575	27113
136	64079	26660
137	64563	26199
138	65054	25740
139	65539	25279
140	65998	24808
141	66428	24325
142	66906	23861
143	67355	23387
144	67838	22924
145	68373	22478
146	68836	22008
147	69316	21544
148	69821	21087
149	70269	20612
150	70713	20136
151	71171	19665
152	71618	19191
153	72088	18724
154	72529	18249
155	72999	17781
156	73467	17313
157	73931	16845
158	74391	16375
159	74827	15900
160	75276	15429
161	75717	14956
162	76189	14490
163	76660	14023
164	77204	13569
165	77732	13111
166	78248	12650
167	78785	12193
168	79317	11733
169	79829	11270
170	80292	10799
171	80867	10343
