iter	Passed	Remaining
0	594	114656
1	1056	101388
2	1509	96092
3	1946	92470
4	2443	92372
5	2893	90659
6	3334	89091
7	3780	87902
8	4215	86653
9	4679	86110
10	5104	84921
11	5550	84184
12	6007	83638
13	6448	82910
14	6886	82174
15	7327	81518
16	7759	80787
17	8190	80085
18	8615	79351
19	9057	78800
20	9508	78331
21	9953	77821
22	10404	77354
23	10834	76743
24	11268	76175
25	11692	75549
26	12104	74869
27	12539	74340
28	12996	73942
29	13446	73509
30	13909	73137
31	14430	73055
32	14868	72538
33	15311	72053
34	15755	71573
35	16202	71111
36	16639	70604
37	17063	70051
38	17502	69561
39	17941	69075
40	18391	68629
41	18819	68107
42	19248	67593
43	19688	67120
44	20122	66626
45	20541	66089
46	20985	65636
47	21429	65180
48	21858	64682
49	22314	64265
50	22753	63797
51	23195	63340
52	23620	62839
53	24077	62423
54	24504	61928
55	24936	61450
56	25372	60983
57	25798	60492
58	26233	60025
59	26666	59554
60	27095	59077
61	27528	58608
62	27967	58154
63	28415	57718
64	28853	57263
65	29280	56786
66	29700	56298
67	30118	55807
68	30638	55503
69	31059	55018
70	31528	54619
71	32029	54271
72	32496	53863
73	32959	53447
74	33412	53014
75	33843	52546
76	34299	52117
77	34723	51640
78	35166	51192
79	35600	50730
80	36029	50263
81	36451	49787
82	36907	49358
83	37370	48938
84	37795	48467
85	38242	48025
86	38678	47569
87	39101	47099
88	39534	46641
89	39962	46179
90	40413	45742
91	40842	45281
92	41269	44819
93	41685	44346
94	42110	43883
95	42550	43436
96	43022	43022
97	43478	42591
98	43919	42145
99	44380	41717
100	44808	41258
101	45246	40810
102	45665	40345
103	46098	39893
104	46543	39451
105	47004	39022
106	47446	38577
107	47889	38134
108	48324	37684
109	48777	37248
110	49200	36789
111	49627	36334
112	50081	35899
113	50506	35443
114	50944	34996
115	51386	34553
116	51859	34129
117	52289	33677
118	52732	33235
119	53171	32788
120	53626	32353
121	54081	31916
122	54519	31470
123	54956	31024
124	55416	30590
125	55863	30148
126	56309	29706
127	56769	29271
128	57200	28821
129	57629	28371
130	58068	27925
131	58511	27482
132	58949	27037
133	59395	26594
134	59847	26155
135	60280	25707
136	60719	25262
137	61143	24811
138	61597	24373
139	62022	23922
140	62481	23485
141	62956	23054
142	63423	22619
143	63860	22173
144	64296	21727
145	64751	21288
146	65220	20852
147	65644	20403
148	66069	19953
149	66524	19513
150	66952	19065
151	67393	18622
152	67831	18177
153	68264	17731
154	68702	17286
155	69153	16844
156	69591	16400
157	70018	15953
158	70450	15507
