iter	Accuracy	MultiClass
0	0.9757152568	0.6794007906
1	0.9833978464	0.4658730326
2	0.9887678989	0.3315826521
3	0.9893902662	0.2474897948
4	0.9925610805	0.1865322
5	0.9935342085	0.14384643
6	0.9940246526	0.1131023273
7	0.9942621144	0.09048038621
8	0.9941736483	0.07324459485
9	0.9944949202	0.06070646651
10	0.9953159484	0.04935613833
11	0.9953299168	0.04146534099
12	0.9954245911	0.03517200167
13	0.9955968674	0.03083007228
14	0.9958358813	0.02716938331
15	0.9959165873	0.02449611402
16	0.9959367638	0.02307182313
17	0.9961012798	0.02091838535
18	0.9962549316	0.01970926473
19	0.9962688999	0.01859484625
20	0.9962782122	0.01731917495
21	0.9962952846	0.0167217619
22	0.9963496059	0.01579402919
23	0.9963790947	0.01521509032
24	0.9964178956	0.01427540216
25	0.996431864	0.01405703087
26	0.9966134524	0.01349157628
27	0.9966522534	0.01300582462
28	0.9966848462	0.01263873726
29	0.9967748644	0.01235385124
30	0.996838498	0.01205799185
31	0.9968664347	0.01184350548
32	0.9969114438	0.01156622907
33	0.9969238601	0.01142311385
34	0.996919204	0.01115970419
35	0.9969797335	0.0109571436
36	0.9969921498	0.01084010311
37	0.9970200865	0.01065849672
38	0.9969968059	0.01046665852
39	0.9969874937	0.01038624567
40	0.9970061181	0.01026539821
41	0.9970076702	0.01020680214
42	0.9970123263	0.0101599293
43	0.9970449191	0.01006270781
44	0.9971038965	0.009916825102
45	0.9971007925	0.009757640752
46	0.9970681997	0.009663528313
47	0.9970728558	0.009627241563
48	0.9971163129	0.009517457199
49	0.9971302812	0.009452151946
50	0.9971380414	0.009419026851
51	0.9971846025	0.009250318598
52	0.9971892587	0.009186801872
53	0.9971923627	0.009124922961
54	0.9972606524	0.008974523444
55	0.9972559963	0.008919301118
56	0.9972792769	0.008829751898
57	0.9972808289	0.008752072142
58	0.9973211819	0.008693520444
59	0.9973211819	0.008644896013
60	0.9973149738	0.008557977077
61	0.9973149738	0.008514483916
62	0.9973335982	0.008448430973
63	0.9973413584	0.008380628701
64	0.9973692951	0.00826066221
65	0.9973801594	0.008199257787
66	0.9974375848	0.008153737978
67	0.9974344807	0.008125753041
68	0.9974391368	0.008065862117
69	0.9974593133	0.008010698389
70	0.9974717296	0.007924390991
71	0.9974732817	0.007882742434
72	0.9974825939	0.007836640929
73	0.9974841459	0.007801226993
74	0.997485698	0.007759282258
75	0.99748725	0.007709145781
76	0.9974981143	0.007676143146
77	0.9975105306	0.007641104764
78	0.9975151867	0.007629299579
79	0.9975089785	0.007605895553
80	0.9975338112	0.007582973881
81	0.9975338112	0.007553939465
82	0.9975307071	0.00749885044
83	0.9975353632	0.007480012186
84	0.9975353632	0.007432629456
85	0.997527603	0.007395643913
86	0.9975415713	0.007372226719
