iter	Passed	Remaining
0	554	107049
1	1055	101300
2	1745	111144
3	2236	106219
4	2743	103700
5	3220	100904
6	3685	98465
7	4115	95680
8	4604	94651
9	5135	94498
10	5628	93640
11	6256	94890
12	6776	94353
13	7263	93388
14	7763	92640
15	8236	91627
16	8741	91018
17	9204	89996
18	9748	89788
19	10244	89125
20	10731	88404
21	11203	87587
22	11634	86499
23	12086	85616
24	12542	84784
25	12975	83844
26	13417	82989
27	13853	82132
28	14296	81340
29	14753	80652
30	15203	79942
31	15632	79139
32	16086	78481
33	16553	77900
34	16981	77145
35	17432	76510
36	17877	75860
37	18359	75368
38	18806	74745
39	19246	74097
40	19742	73673
41	20173	73009
42	20621	72415
43	21049	71758
44	21587	71478
45	22035	70898
46	22526	70455
47	23014	70002
48	23477	69473
49	23920	68892
50	24370	68333
51	24847	67853
52	25275	67243
53	25709	66654
54	26156	66104
55	26638	65645
56	27089	65109
57	27524	64539
58	27992	64051
59	28519	63694
60	29010	63253
61	29475	62755
62	29903	62179
63	30341	61631
64	30807	61141
65	31250	60606
66	31677	60046
67	32101	59482
68	32539	58947
69	32996	58451
70	33464	57973
71	33939	57508
72	34398	57017
73	34883	56567
74	35318	56039
75	35751	55508
76	36190	54990
77	36699	54578
78	37152	54082
79	37615	53601
80	38118	53177
81	38630	52764
82	39128	52327
83	39594	51850
84	40079	51395
85	40554	50928
86	41158	50620
