iter	Passed	Remaining
0	445	85900
1	887	85164
2	1336	85115
3	1791	85114
4	2237	84590
5	2679	83944
6	3134	83726
7	3566	82917
8	3994	82105
9	4470	82258
10	4914	81762
11	5367	81411
12	5812	80923
13	6252	80392
14	6745	80495
15	7211	80222
16	7692	80087
17	8168	79867
18	8689	80038
19	9258	80550
20	9788	80636
21	10288	80439
22	10777	80125
23	11350	80396
24	11849	80101
25	12313	79566
26	12767	78967
27	13248	78545
28	13693	77911
29	14134	77267
30	14582	76676
31	15067	76280
32	15522	75731
33	15970	75155
34	16425	74620
35	16857	73984
36	17287	73356
37	17725	72768
38	18166	72199
39	18651	71807
40	19183	71587
41	19662	71158
42	20115	70637
43	20543	70033
44	20978	69462
45	21433	68958
46	21862	68378
47	22319	67889
48	22826	67547
49	23354	67262
50	23868	66924
51	24379	66574
52	24952	66384
53	25452	65988
54	26016	65750
55	26554	65438
56	27036	64982
57	27557	64616
58	28088	64269
59	28607	63890
60	29103	63454
61	29631	63086
62	30114	62618
63	30583	62122
64	31067	61657
65	31534	61158
66	32029	60711
67	32521	60260
68	33070	59910
69	33569	59465
70	34020	58937
71	34459	58389
72	34904	57855
73	35355	57333
74	35803	56808
75	36278	56326
76	36729	55809
77	37198	55321
78	37645	54799
79	38101	54295
80	38560	53793
81	39010	53282
82	39499	52824
83	39934	52295
84	40397	51803
85	40860	51313
86	41335	50838
87	41783	50329
88	42256	49853
89	42717	49362
90	43195	48891
91	43658	48403
92	44114	47909
93	44587	47433
94	45075	46973
95	45559	46508
96	46018	46018
97	46477	45528
98	46992	45093
99	47449	44602
100	47922	44126
101	48383	43640
102	48886	43191
103	49398	42748
104	49878	42277
105	50315	41771
106	50757	41269
107	51206	40775
108	51656	40282
109	52133	39810
110	52595	39328
111	53041	38834
112	53522	38365
113	53989	37887
114	54441	37399
115	54896	36913
116	55392	36454
117	55880	35990
118	56326	35500
119	56787	35018
120	57244	34536
121	57675	34038
122	58128	33553
123	58565	33061
124	59030	32585
125	59482	32101
126	59918	31610
127	60393	31140
128	60835	30653
129	61359	30207
130	61846	29743
131	62347	29284
132	62811	28808
133	63278	28333
134	63722	27848
135	64180	27371
136	64632	26890
137	65095	26415
138	65623	25966
139	66080	25488
140	66550	25015
141	66990	24531
142	67436	24050
143	67885	23571
144	68340	23094
145	68791	22616
146	69259	22144
147	69710	21666
148	70164	21190
149	70602	20710
150	71059	20235
151	71523	19763
152	71990	19291
153	72436	18814
154	72918	18347
155	73373	17873
156	73869	17408
157	74315	16932
158	74758	16456
159	75229	15986
160	75715	15519
161	76203	15052
162	76677	14582
163	77125	14108
164	77580	13635
165	78047	13164
166	78502	12692
167	78963	12220
168	79491	11759
169	80057	11302
