iter	Passed	Remaining
0	438	84629
1	887	85162
2	1330	84724
3	1807	85877
4	2251	85105
5	2696	84495
6	3140	83908
7	3595	83598
8	4043	83111
9	4480	82432
10	4929	82002
11	5400	81912
12	5845	81392
13	6314	81188
14	6806	81230
15	7268	80862
16	7697	80141
17	8144	79636
18	8583	79061
19	9017	78456
20	9444	77806
21	9880	77244
22	10337	76860
23	10774	76315
24	11228	75905
25	11668	75394
26	12123	74985
27	12552	74415
28	12989	73906
29	13434	73443
30	13881	72990
31	14398	72892
32	14858	72490
33	15461	72758
34	15995	72665
35	16485	72354
36	17033	72277
37	17596	72236
38	18171	72220
39	18635	71745
40	19129	71386
41	19808	71689
42	20269	71180
43	20800	70909
44	21258	70387
45	21720	69882
46	22172	69347
47	22632	68840
48	23070	68268
49	23568	67876
50	24013	67331
51	24471	66825
52	24919	66296
53	25372	65780
54	25838	65300
55	26292	64791
56	26746	64285
57	27208	63800
58	27664	63300
59	28096	62749
60	28554	62257
61	28986	61712
62	29476	61292
63	29933	60803
64	30391	60314
65	30859	59849
66	31305	59339
67	31743	58818
68	32203	58338
69	32642	57824
70	33115	57368
71	33599	56932
72	34048	56436
73	34494	55937
74	34930	55423
75	35375	54925
76	35866	54498
77	36321	54017
78	36800	53570
79	37247	53076
80	37697	52590
81	38153	52112
82	38598	51620
83	39046	51132
84	39480	50627
85	39924	50137
86	40403	49691
87	40850	49205
88	41296	48720
89	41758	48253
90	42199	47764
91	42649	47285
92	43119	46829
93	43571	46352
94	44017	45870
95	44451	45377
96	44908	44908
97	45347	44421
98	45813	43962
99	46339	43559
100	46772	43067
101	47246	42614
102	47686	42130
103	48140	41660
104	48579	41176
105	49011	40688
106	49465	40219
107	49908	39741
108	50354	39267
109	50798	38791
110	51244	38318
111	51684	37840
112	52135	37371
113	52587	36903
114	53035	36433
115	53478	35959
116	53914	35482
