iter	Accuracy	MultiClass
0	0.967849427	0.6983413171
1	0.982395175	0.4717866927
2	0.9886654292	0.3355094665
3	0.9894724916	0.2511146127
4	0.9910183265	0.1904408516
5	0.9914808354	0.1481457282
6	0.9918579818	0.1163231737
7	0.9937173295	0.0919727722
8	0.9942124312	0.07401088599
9	0.9946578676	0.06050886713
10	0.9949620681	0.05002656453
11	0.9949744844	0.04225816991
12	0.9954059524	0.0359097939
13	0.9954618259	0.03157612157
14	0.9956108221	0.02742047745
15	0.9956729038	0.02509519587
16	0.9956961845	0.02305171357
17	0.9957598182	0.02070339582
18	0.9958420765	0.01892004841
19	0.9961726617	0.01765489598
20	0.9961369647	0.01650410264
21	0.9962238791	0.01579463544
22	0.9963138976	0.01506958422
23	0.996327866	0.01478470143
24	0.9965156632	0.01386126801
25	0.996579297	0.01342523303
26	0.9966646594	0.01302463583
27	0.9966786277	0.01258479992
28	0.996722085	0.01214591201
29	0.9968524566	0.01165771622
30	0.9968617688	0.01141792313
31	0.9969828282	0.0112468585
32	0.9969548914	0.01100553002
33	0.9969797241	0.01086093206
34	0.9969735159	0.01070824352
35	0.9970045568	0.0105757171
36	0.9970076609	0.01049326372
37	0.9970231813	0.01036359774
38	0.9970278374	0.01019628664
39	0.9970433579	0.01004346418
40	0.997049566	0.009903888024
41	0.9971287202	0.009729517661
42	0.9971535529	0.009634043014
43	0.9971768336	0.009522072169
44	0.9972032183	0.009468410697
45	0.9971830418	0.009367967171
46	0.9971830418	0.009281363841
47	0.9971892499	0.009242041049
48	0.9971892499	0.009165953268
49	0.9971737295	0.009107614002
50	0.9971970101	0.009034679442
51	0.9972202908	0.00890902652
52	0.9973056532	0.00883622969
53	0.9972947889	0.008778528905
54	0.9973118613	0.008731227995
55	0.9973397981	0.008630825148
56	0.9973397981	0.008554901833
57	0.9973522145	0.008525936666
58	0.9973739431	0.008408242201
59	0.9974639616	0.008354787103
60	0.9974686177	0.008313849878
61	0.9974748259	0.008289428412
62	0.997481034	0.008226811875
63	0.9975027626	0.008178431905
64	0.9975089708	0.008138101283
65	0.9975384596	0.008093816801
66	0.9975400117	0.008060406806
67	0.9975695005	0.008018046327
68	0.9975477719	0.00797652771
69	0.997550876	0.007954238841
70	0.9975570841	0.007895992399
71	0.9975772607	0.007827701926
72	0.9975695005	0.007797760451
73	0.9976036454	0.007763313263
74	0.9976083016	0.0077416077
75	0.9976207179	0.007694195151
76	0.9976362383	0.007661671804
77	0.9976439986	0.007644998933
78	0.9976517588	0.007623089522
79	0.9976548629	0.007604112603
80	0.9976548629	0.007579747042
81	0.9976393424	0.007552729175
82	0.9976471026	0.007513263778
83	0.9976502067	0.007494369298
84	0.997659519	0.007480754295
85	0.997659519	0.007462489273
86	0.9976688312	0.007438006166
87	0.9976781435	0.007376061551
88	0.9976812476	0.007346583961
89	0.9976874558	0.007307288111
90	0.9977045282	0.007247831539
91	0.9977045282	0.00722735881
92	0.9976983201	0.007212254957
93	0.9976983201	0.007178856958
94	0.9976983201	0.007169056431
95	0.9977045282	0.007152803538
96	0.9977076323	0.007132098888
97	0.9977153925	0.007106737332
98	0.9977169446	0.007091232431
99	0.9977184966	0.007056560741
100	0.9977278089	0.007045536736
101	0.9977386732	0.007026924333
102	0.9977340171	0.007018210934
103	0.9977386732	0.007007537626
104	0.9977402252	0.006993284002
105	0.9977433293	0.006979141151
106	0.9977479854	0.006962684919
107	0.9977510895	0.00694737701
108	0.9977526416	0.00693730519
109	0.9977510895	0.006913360799
110	0.9977510895	0.006898450457
111	0.9977448814	0.006883496134
112	0.9977635059	0.006869533207
113	0.9977604018	0.006848581327
114	0.9977619538	0.006840219624
115	0.9977697141	0.006826965621
116	0.9977852345	0.006817050457
