iter	Accuracy	MultiClass
0	0.971909659	0.68791245
1	0.9824231663	0.4670729453
2	0.9888967181	0.3319848274
3	0.9899676245	0.2484866575
4	0.9918812877	0.1876331065
5	0.9920939169	0.1450715257
6	0.9923220666	0.1142090829
7	0.9936661317	0.09060042954
8	0.9939734353	0.07320214541
9	0.9941922727	0.06074348424
10	0.9946159792	0.05144213298
11	0.9947773911	0.04307569308
12	0.9950381336	0.03663973747
13	0.9956589489	0.03166043273
14	0.9955906592	0.02787405391
15	0.9956341163	0.02565655828
16	0.9957908722	0.02380991878
17	0.9959647004	0.02156717839
18	0.9962223388	0.01976183752
19	0.9960997278	0.0186927763
20	0.9962518275	0.01725245447
21	0.9962766601	0.01662224373
22	0.9963449498	0.01582175907
23	0.9964023752	0.01510867417
24	0.996475321	0.0144666875
25	0.996393063	0.01412552162
26	0.9964768731	0.01383512125
27	0.9964147915	0.01343316707
28	0.9965855158	0.01290693474
29	0.9966243167	0.01250442314
30	0.9967671042	0.01210851942
31	0.996798145	0.01185689447
32	0.9968090093	0.01158411573
33	0.9968447062	0.01132516545
34	0.9968462582	0.01119510721
35	0.9968710908	0.0109786675
36	0.9969688692	0.01087681694
37	0.9970247426	0.01060790712
38	0.9970868241	0.01041844583
39	0.9970961364	0.0103512165
40	0.9971194169	0.0102319907
41	0.9971287292	0.01016578765
42	0.9971271771	0.01011708571
43	0.9971489057	0.009915904963
44	0.997162874	0.009814532487
45	0.997164426	0.009638461406
46	0.9971908107	0.009505646831
47	0.9972094352	0.009413720992
48	0.9971954668	0.009351418425
49	0.9971970188	0.009248515638
50	0.9972063311	0.009162323598
51	0.9972311637	0.009035289803
52	0.997245132	0.009002778133
53	0.997245132	0.008876335929
54	0.9972482361	0.008814724187
55	0.9972497881	0.008764099655
56	0.9972482361	0.008722216967
57	0.9972653085	0.008681533264
58	0.9973211819	0.00861802791
59	0.9973568788	0.008548811452
60	0.9973568788	0.008501828391
61	0.9972901411	0.00845531964
62	0.9972901411	0.008424256076
63	0.9972932452	0.008351480093
64	0.997325838	0.008276159104
65	0.9973444625	0.00822905197
66	0.9973879196	0.00818973789
67	0.9973677431	0.008158006808
68	0.9973863675	0.008048672441
69	0.9973956797	0.008014061037
70	0.9974298246	0.007972696332
71	0.9974593133	0.007928222403
72	0.9974624174	0.007871890535
73	0.9974701776	0.007830964325
74	0.9974732817	0.007773575397
75	0.99748725	0.007744479482
76	0.9975043224	0.007718284632
77	0.997526051	0.007699714239
78	0.9975431234	0.007680182507
79	0.9975493315	0.007654501254
80	0.9975570917	0.007638625315
81	0.9975462275	0.007606948019
82	0.9975493315	0.00757715746
83	0.9975477795	0.007543948018
84	0.997569508	0.007504661565
85	0.9975772682	0.007485295565
86	0.9975788203	0.007447068971
87	0.9975834764	0.007425096703
88	0.9975850284	0.007410156322
89	0.9975958927	0.007400977129
90	0.9976005488	0.007365959141
91	0.9975912366	0.007344980488
92	0.9975989968	0.007320152418
93	0.997608309	0.007297771672
94	0.9976160692	0.007282794612
95	0.9976114131	0.007268659066
96	0.9976176212	0.007243081367
97	0.9976238294	0.007216158477
98	0.9976222773	0.007200749307
99	0.9976269335	0.007189099091
100	0.9976455579	0.007161711971
101	0.9976564222	0.007146124556
102	0.9976610783	0.007129817615
103	0.9976657344	0.007111978949
104	0.9976672864	0.007098630595
105	0.9976703905	0.007066746484
106	0.9976734946	0.007049724017
107	0.9976734946	0.00703861434
108	0.9976703905	0.007022165288
109	0.9976750466	0.007013535316
110	0.9976734946	0.00698479547
111	0.9976734946	0.006976719678
112	0.9976765987	0.006967507875
113	0.9976797028	0.006953324694
114	0.9976828068	0.006941324577
115	0.9976797028	0.006933267609
116	0.9976797028	0.006915691828
117	0.9976781507	0.006893907066
118	0.9976843589	0.006884523846
119	0.9976998793	0.006870792791
120	0.9977091915	0.006841564883
121	0.9977045354	0.006832317728
122	0.9976998793	0.006809804008
123	0.9977169517	0.00680069082
124	0.9977107435	0.006792885277
125	0.9977122956	0.006784765419
126	0.9977216078	0.00676369755
127	0.9977138476	0.00675537343
128	0.9977200557	0.006746259212
129	0.9977247119	0.006734734294
130	0.9977324721	0.006720902307
131	0.9977371282	0.00671427457
132	0.997729368	0.006709780071
133	0.9977278159	0.006699687554
134	0.9977247119	0.00668890886
135	0.9977355761	0.006672938263
136	0.9977479924	0.006666497143
137	0.9977495445	0.006658649912
138	0.9977417843	0.006651154577
139	0.9977402322	0.006645741438
140	0.9977510965	0.006639070018
141	0.9977510965	0.006635977506
142	0.9977681689	0.006621309905
143	0.9977743771	0.006586768869
144	0.9977836893	0.006581983963
145	0.9977805852	0.00657238595
146	0.9977728251	0.006566035197
147	0.9977790332	0.006557478701
148	0.9977945536	0.00653044516
149	0.9977945536	0.006524350206
