iter	Passed	Remaining
0	494	95399
1	948	91098
2	1423	90612
3	1857	88254
4	2406	90981
5	3030	94966
6	3563	95193
7	4025	93588
8	4550	93530
9	5024	92455
10	5478	91140
11	5957	90354
12	6432	89561
13	6891	88605
14	7367	87913
15	7857	87412
16	8301	86432
17	8772	85771
18	9236	85072
19	9696	84356
20	10138	83518
21	10578	82707
22	11042	82096
23	11508	81521
24	12033	81349
25	12522	80911
26	12969	80221
27	13452	79754
28	13901	79092
29	14358	78490
30	14842	78041
31	15291	77413
32	15765	76915
33	16243	76438
34	16687	75807
35	17163	75329
36	17633	74824
37	18124	74404
38	18642	74092
39	19131	73654
40	19588	73100
41	20047	72551
42	20521	72064
43	20994	71571
44	21456	71046
45	21901	70464
46	22390	70031
47	22831	69446
48	23287	68913
49	23749	68397
50	24193	67835
51	24661	67344
52	25129	66852
53	25601	66375
54	26048	65831
55	26499	65302
56	26939	64748
57	27382	64208
58	27834	63688
59	28284	63169
60	28797	62787
61	29233	62239
62	29688	61732
63	30142	61227
64	30614	60758
65	31069	60256
66	31528	59762
67	32031	59352
68	32502	58882
69	32963	58392
70	33490	58018
71	34081	57749
72	34690	57500
73	35276	57204
74	35722	56679
75	36172	56163
76	36621	55645
77	37076	55139
78	37614	54754
79	38073	54255
80	38549	53779
81	38982	53244
82	39426	52726
83	39863	52202
84	40316	51699
85	40770	51200
86	41222	50699
87	41689	50217
88	42141	49717
89	42591	49216
90	43047	48723
91	43486	48212
92	43925	47704
93	44380	47213
94	44812	46699
95	45295	46239
96	45773	45773
97	46274	45329
98	46717	44829
99	47188	44357
100	47629	43857
101	48097	43382
102	48550	42894
103	49038	42436
104	49559	42007
105	50088	41583
106	50532	41087
107	50983	40597
108	51480	40145
109	51925	39652
110	52363	39154
111	52796	38654
112	53244	38166
113	53671	37663
114	54131	37185
115	54565	36690
116	55022	36211
117	55477	35731
118	55963	35271
119	56428	34797
120	56885	34319
121	57338	33839
122	57820	33376
123	58272	32895
124	58710	32408
125	59160	31927
126	59588	31436
127	60056	30966
128	60509	30489
129	60940	30001
130	61382	29519
131	61862	29056
132	62328	28586
133	62754	28099
134	63191	27616
135	63630	27136
136	64050	26648
137	64496	26172
138	64917	25686
139	65393	25223
140	65834	24746
141	66254	24262
142	66690	23784
143	67129	23308
144	67586	22839
145	68065	22377
146	68485	21896
147	68911	21418
148	69343	20942
149	69771	20466
